quantile,value,pert_id,n_batches_pert,cell_line
0.1,3.9652457217877353,Crizotinib (PF-02341066),2,sciplex_MCF7
0.2,4.057033035569637,Crizotinib (PF-02341066),2,sciplex_MCF7
0.5,4.989200811638315,Crizotinib (PF-02341066),2,sciplex_MCF7
0.8,5.982301137395348,Crizotinib (PF-02341066),2,sciplex_MCF7
0.9,6.192306838961075,Crizotinib (PF-02341066),2,sciplex_MCF7
0.99,6.418789451596508,Crizotinib (PF-02341066),2,sciplex_MCF7
0.995,6.5237560831875845,Crizotinib (PF-02341066),2,sciplex_MCF7
0.1,3.450616077038525,Curcumin,2,sciplex_MCF7
0.2,3.531351463432408,Curcumin,2,sciplex_MCF7
0.5,4.524573458487095,Curcumin,2,sciplex_MCF7
0.8,4.88938994654658,Curcumin,2,sciplex_MCF7
0.9,5.35165245306271,Curcumin,2,sciplex_MCF7
0.99,5.701981332194798,Curcumin,2,sciplex_MCF7
0.995,5.716744934124472,Curcumin,2,sciplex_MCF7
0.1,5.101592606338183,Cyclocytidine HCl,2,sciplex_MCF7
0.2,5.314595372540846,Cyclocytidine HCl,2,sciplex_MCF7
0.5,5.848743353790736,Cyclocytidine HCl,2,sciplex_MCF7
0.8,6.618354996543532,Cyclocytidine HCl,2,sciplex_MCF7
0.9,6.990007535662038,Cyclocytidine HCl,2,sciplex_MCF7
0.99,9.70038285047195,Cyclocytidine HCl,2,sciplex_MCF7
0.995,9.989755007765563,Cyclocytidine HCl,2,sciplex_MCF7
0.1,3.1687805941954865,Dacinostat (LAQ824),2,sciplex_MCF7
0.2,3.213747065051908,Dacinostat (LAQ824),2,sciplex_MCF7
0.5,3.320697062081827,Dacinostat (LAQ824),2,sciplex_MCF7
0.8,5.2058060709505884,Dacinostat (LAQ824),2,sciplex_MCF7
0.9,5.292733153218254,Dacinostat (LAQ824),2,sciplex_MCF7
0.99,5.391992898580911,Dacinostat (LAQ824),2,sciplex_MCF7
0.995,5.393236982875469,Dacinostat (LAQ824),2,sciplex_MCF7
0.1,3.7718300973997136,Danusertib (PHA-739358),2,sciplex_MCF7
0.2,4.960004651166286,Danusertib (PHA-739358),2,sciplex_MCF7
0.5,5.664841454952104,Danusertib (PHA-739358),2,sciplex_MCF7
0.8,5.9332255555498925,Danusertib (PHA-739358),2,sciplex_MCF7
0.9,6.090850952330219,Danusertib (PHA-739358),2,sciplex_MCF7
0.99,6.449667784263066,Danusertib (PHA-739358),2,sciplex_MCF7
0.995,6.58796328927266,Danusertib (PHA-739358),2,sciplex_MCF7
0.1,3.297743622678405,Daphnetin,2,sciplex_MCF7
