cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
K-562,0,0.8518076539039612,0.5530661940574646,0.6498063802719116,0.8479825258255005,0.5892939567565918,,0.2
K-562,1,0.8603909015655518,0.5730913877487183,0.6714605689048767,0.8480586409568787,0.6131421327590942,,0.2
Hep-G2,3,0.8032068014144897,0.5623261332511902,0.6494030952453613,0.8433742523193359,0.5948405265808105,,0.2
hTERT-RPE1,3,0.8307516574859619,0.5627679824829102,0.6568372845649719,0.8342635631561279,0.6009483933448792,,0.2
K-562,2,0.8588313460350037,0.5741819739341736,0.6734301447868347,0.8438021540641785,0.6155211925506592,,0.2
hTERT-RPE1,0,0.8214454650878906,0.5587697625160217,0.6506698131561279,0.8357183337211609,0.5953116416931152,,0.2
Jurkat,3,0.8155690431594849,0.5244333148002625,0.6104167699813843,0.8415914177894592,0.5522300004959106,,0.2
K-562,4,0.8610984683036804,0.5780195593833923,0.6785017848014832,0.8525166511535645,0.6185358762741089,,0.2
Hep-G2,1,0.7987239360809326,0.5646989345550537,0.6516158580780029,0.8419811725616455,0.598713755607605,,0.2
Jurkat,4,0.7892634272575378,0.5230716466903687,0.6030810475349426,0.8407423496246338,0.5488278865814209,,0.2
hTERT-RPE1,4,0.8136072158813477,0.5735812783241272,0.6654650568962097,0.8374477028846741,0.6120641231536865,,0.2
K-562,3,0.855879008769989,0.577720046043396,0.6771191954612732,0.849457323551178,0.6179953217506409,,0.2
Jurkat,2,0.7941985726356506,0.5191144943237305,0.5992611646652222,0.8408183455467224,0.5439095497131348,,0.2
hTERT-RPE1,2,0.8285494446754456,0.57588791847229,0.6712509989738464,0.836069643497467,0.61639404296875,,0.2
hTERT-RPE1,1,0.8107202649116516,0.5694170594215393,0.6611006259918213,0.8337802886962891,0.607323169708252,,0.2
Hep-G2,2,0.7991359233856201,0.5626971125602722,0.6505681872367859,0.8411653637886047,0.5964170098304749,,0.2
K-562,0,0.852935254573822,0.5548831224441528,0.6521234512329102,0.849581778049469,0.5913408994674683,,0.5
Jurkat,4,0.7930187582969666,0.5253493189811707,0.6056326031684875,0.8455117344856262,0.5505030751228333,,0.5
Jurkat,3,0.8172411322593689,0.52605801820755,0.6118909120559692,0.8445770740509033,0.5536850690841675,,0.5
Jurkat,0,0.7913072109222412,0.5147598385810852,0.592251718044281,0.8470097780227661,0.5378652215003967,,0.5
hTERT-RPE1,3,0.833004355430603,0.5632733106613159,0.6579057574272156,0.8375205993652344,0.6021018028259277,,0.5
K-562,3,0.8570424318313599,0.5781565308570862,0.6777088046073914,0.8508620858192444,0.6188074946403503,,0.5
Hep-G2,0,0.7973860502243042,0.558713972568512,0.6445696949958801,0.8500595092773438,0.5893869400024414,,0.5
Jurkat,1,0.7899185419082642,0.5249513387680054,0.6061577796936035,0.8399359583854675,0.5513777136802673,,0.5
K-562,1,0.8612328171730042,0.5737900733947754,0.6727152466773987,0.8490812182426453,0.6143625974655151,,0.5
